Ephemeris time,Sol,x1,y1,z1,vx1,vy1,vz1,ang,x2,y2,z2,vx2,vy2,vz2,ang1,px,py,pz,ang3,hga,sol and time
515678517.2,1331,-33195969.85,-70754929.4,-31113038.98,-0.352,8.013,2.642,280.596,33197672.56,70758556.34,31114633.52,0.35,-8.017,-2.643,280.61,33197672.56,70758556.34,31114633.52,280.61,89.601, 1/01331:19:27:54:79472
515678518.2,1331,-33195970.2,-70754921.38,-31113036.34,-0.352,8.013,2.642,280.596,33197672.91,70758548.32,31114630.87,0.35,-8.017,-2.643,280.61,33197672.91,70758548.32,31114630.87,280.61,89.604, 1/01331:19:27:55:76797
515678519.2,1331,-33195970.55,-70754913.37,-31113033.69,-0.352,8.013,2.642,280.596,33197673.26,70758540.3,31114628.23,0.35,-8.017,-2.643,280.61,33197673.26,70758540.3,31114628.23,280.61,89.607, 1/01331:19:27:56:74121
515678520.2,1331,-33195970.9,-70754905.36,-31113031.05,-0.351,8.013,2.642,280.596,33197673.61,70758532.29,31114625.59,0.35,-8.017,-2.643,280.61,33197673.61,70758532.29,31114625.59,280.61,89.61, 1/01331:19:27:57:71445
515678521.2,1331,-33195971.25,-70754897.34,-31113028.41,-0.351,8.013,2.642,280.596,33197673.96,70758524.27,31114622.94,0.35,-8.017,-2.643,280.61,33197673.96,70758524.27,31114622.94,280.61,89.613, 1/01331:19:27:58:68770
515678522.2,1331,-33195971.6,-70754889.33,-31113025.77,-0.351,8.013,2.642,280.596,33197674.31,70758516.25,31114620.3,0.35,-8.017,-2.643,280.61,33197674.31,70758516.25,31114620.3,280.61,89.616, 1/01331:19:27:59:66094
515678523.2,1331,-33195971.95,-70754881.32,-31113023.13,-0.351,8.013,2.642,280.596,33197674.66,70758508.23,31114617.66,0.35,-8.017,-2.643,280.61,33197674.66,70758508.23,31114617.66,280.61,89.619, 1/01331:19:28:00:63419
515678524.2,1331,-33195972.31,-70754873.3,-31113020.49,-0.351,8.013,2.642,280.596,33197675.01,70758500.22,31114615.01,0.35,-8.017,-2.643,280.61,33197675.01,70758500.22,31114615.01,280.61,89.622, 1/01331:19:28:01:60743
515678525.2,1331,-33195972.66,-70754865.29,-31113017.84,-0.351,8.013,2.642,280.595,33197675.36,70758492.2,31114612.37,0.35,-8.017,-2.643,280.61,33197675.36,70758492.2,31114612.37,280.61,89.625, 1/01331:19:28:02:58068
515678526.2,1331,-33195973.01,-70754857.28,-31113015.2,-0.351,8.013,2.642,280.595,33197675.71,70758484.18,31114609.73,0.35,-8.017,-2.643,280.61,33197675.71,70758484.18,31114609.73,280.61,89.628, 1/01331:19:28:03:55392
515678527.2,1331,-33195973.36,-70754849.26,-31113012.56,-0.351,8.013,2.642,280.595,33197676.06,70758476.17,31114607.09,0.35,-8.017,-2.643,280.61,33197676.06,70758476.17,31114607.09,280.61,89.631, 1/01331:19:28:04:52716
515678528.2,1331,-33195973.71,-70754841.25,-31113009.92,-0.351,8.013,2.642,280.595,33197676.41,70758468.15,31114604.44,0.35,-8.017,-2.643,280.61,33197676.41,70758468.15,31114604.44,280.61,89.634, 1/01331:19:28:05:50041
515678529.2,1331,-33195974.06,-70754833.24,-31113007.28,-0.351,8.013,2.642,280.595,33197676.76,70758460.13,31114601.8,0.35,-8.017,-2.643,280.61,33197676.76,70758460.13,31114601.8,280.61,89.637, 1/01331:19:28:06:47365
515678530.2,1331,-33195974.41,-70754825.22,-31113004.64,-0.351,8.013,2.642,280.595,33197677.11,70758452.12,31114599.16,0.35,-8.017,-2.643,280.61,33197677.11,70758452.12,31114599.16,280.61,89.64, 1/01331:19:28:07:44690
515678531.2,1331,-33195974.77,-70754817.21,-31113002,-0.351,8.013,2.642,280.595,33197677.46,70758444.1,31114596.51,0.35,-8.017,-2.643,280.61,33197677.46,70758444.1,31114596.51,280.61,89.644, 1/01331:19:28:08:42014
515678532.2,1331,-33195975.12,-70754809.2,-31112999.35,-0.351,8.013,2.642,280.595,33197677.81,70758436.08,31114593.87,0.35,-8.017,-2.643,280.61,33197677.81,70758436.08,31114593.87,280.61,89.647, 1/01331:19:28:09:39339
515678533.2,1331,-33195975.47,-70754801.18,-31112996.71,-0.351,8.013,2.642,280.595,33197678.16,70758428.06,31114591.23,0.35,-8.017,-2.643,280.61,33197678.16,70758428.06,31114591.23,280.61,89.65, 1/01331:19:28:10:36663
515678534.2,1331,-33195975.82,-70754793.17,-31112994.07,-0.351,8.013,2.642,280.595,33197678.51,70758420.05,31114588.58,0.35,-8.017,-2.643,280.61,33197678.51,70758420.05,31114588.58,280.61,89.653, 1/01331:19:28:11:33987
515678535.2,1331,-33195976.17,-70754785.16,-31112991.43,-0.351,8.013,2.642,280.595,33197678.86,70758412.03,31114585.94,0.35,-8.017,-2.643,280.61,33197678.86,70758412.03,31114585.94,280.61,89.656, 1/01331:19:28:12:31312
515678536.2,1331,-33195976.52,-70754777.15,-31112988.79,-0.351,8.013,2.642,280.595,33197679.21,70758404.01,31114583.3,0.35,-8.017,-2.643,280.61,33197679.21,70758404.01,31114583.3,280.61,89.659, 1/01331:19:28:13:28636
515678537.2,1331,-33195976.87,-70754769.13,-31112986.15,-0.351,8.013,2.642,280.595,33197679.56,70758396,31114580.65,0.35,-8.017,-2.643,280.61,33197679.56,70758396,31114580.65,280.61,89.662, 1/01331:19:28:14:25961
515678538.2,1331,-33195977.22,-70754761.12,-31112983.5,-0.351,8.013,2.642,280.595,33197679.91,70758387.98,31114578.01,0.35,-8.017,-2.643,280.61,33197679.91,70758387.98,31114578.01,280.61,89.665, 1/01331:19:28:15:23285
515678539.2,1331,-33195977.58,-70754753.11,-31112980.86,-0.351,8.013,2.641,280.595,33197680.26,70758379.96,31114575.37,0.35,-8.017,-2.643,280.61,33197680.26,70758379.96,31114575.37,280.61,89.668, 1/01331:19:28:16:20610
515678540.2,1331,-33195977.93,-70754745.09,-31112978.22,-0.351,8.013,2.641,280.595,33197680.61,70758371.94,31114572.72,0.35,-8.017,-2.643,280.609,33197680.61,70758371.94,31114572.72,280.609,89.671, 1/01331:19:28:17:17934
515678541.2,1331,-33195978.28,-70754737.08,-31112975.58,-0.351,8.013,2.641,280.595,33197680.96,70758363.93,31114570.08,0.35,-8.017,-2.643,280.609,33197680.96,70758363.93,31114570.08,280.609,89.674, 1/01331:19:28:18:15258
515678542.2,1331,-33195978.63,-70754729.07,-31112972.94,-0.351,8.013,2.641,280.595,33197681.31,70758355.91,31114567.44,0.35,-8.017,-2.643,280.609,33197681.31,70758355.91,31114567.44,280.609,89.677, 1/01331:19:28:19:12583
515678543.2,1331,-33195978.98,-70754721.05,-31112970.3,-0.351,8.013,2.641,280.595,33197681.66,70758347.89,31114564.79,0.35,-8.017,-2.643,280.609,33197681.66,70758347.89,31114564.79,280.609,89.68, 1/01331:19:28:20:09907
515678544.2,1331,-33195979.33,-70754713.04,-31112967.66,-0.351,8.013,2.641,280.595,33197682.01,70758339.88,31114562.15,0.35,-8.017,-2.643,280.609,33197682.01,70758339.88,31114562.15,280.609,89.683, 1/01331:19:28:21:07232
515678545.2,1331,-33195979.68,-70754705.03,-31112965.01,-0.351,8.013,2.641,280.595,33197682.36,70758331.86,31114559.51,0.35,-8.017,-2.643,280.609,33197682.36,70758331.86,31114559.51,280.609,89.686, 1/01331:19:28:22:04556
515678546.2,1331,-33195980.03,-70754697.01,-31112962.37,-0.351,8.013,2.641,280.595,33197682.71,70758323.84,31114556.86,0.35,-8.017,-2.643,280.609,33197682.71,70758323.84,31114556.86,280.609,89.69, 1/01331:19:28:23:01881
515678547.2,1331,-33195980.39,-70754689,-31112959.73,-0.351,8.013,2.641,280.595,33197683.06,70758315.83,31114554.22,0.35,-8.017,-2.643,280.609,33197683.06,70758315.83,31114554.22,280.609,89.693, 1/01331:19:28:23:99205
515678548.2,1331,-33195980.74,-70754680.99,-31112957.09,-0.351,8.013,2.641,280.595,33197683.41,70758307.81,31114551.58,0.35,-8.017,-2.643,280.609,33197683.41,70758307.81,31114551.58,280.609,89.696, 1/01331:19:28:24:96529
515678549.2,1331,-33195981.09,-70754672.97,-31112954.45,-0.351,8.013,2.641,280.595,33197683.75,70758299.79,31114548.94,0.35,-8.017,-2.643,280.609,33197683.75,70758299.79,31114548.94,280.609,89.699, 1/01331:19:28:25:93854
515678550.2,1331,-33195981.44,-70754664.96,-31112951.81,-0.351,8.013,2.641,280.595,33197684.1,70758291.77,31114546.29,0.349,-8.017,-2.643,280.609,33197684.1,70758291.77,31114546.29,280.609,89.702, 1/01331:19:28:26:91178
515678551.2,1331,-33195981.79,-70754656.95,-31112949.17,-0.351,8.013,2.641,280.595,33197684.45,70758283.76,31114543.65,0.349,-8.017,-2.643,280.609,33197684.45,70758283.76,31114543.65,280.609,89.705, 1/01331:19:28:27:88503
515678552.2,1331,-33195982.14,-70754648.93,-31112946.52,-0.351,8.013,2.641,280.595,33197684.8,70758275.74,31114541.01,0.349,-8.017,-2.643,280.609,33197684.8,70758275.74,31114541.01,280.609,89.708, 1/01331:19:28:28:85827
515678553.2,1331,-33195982.49,-70754640.92,-31112943.88,-0.351,8.013,2.641,280.595,33197685.15,70758267.72,31114538.36,0.349,-8.017,-2.643,280.609,33197685.15,70758267.72,31114538.36,280.609,89.711, 1/01331:19:28:29:83152
515678554.2,1331,-33195982.84,-70754632.91,-31112941.24,-0.351,8.013,2.641,280.595,33197685.5,70758259.71,31114535.72,0.349,-8.017,-2.643,280.609,33197685.5,70758259.71,31114535.72,280.609,89.714, 1/01331:19:28:30:80476
515678555.2,1331,-33195983.19,-70754624.89,-31112938.6,-0.351,8.013,2.641,280.595,33197685.85,70758251.69,31114533.08,0.349,-8.017,-2.643,280.609,33197685.85,70758251.69,31114533.08,280.609,89.717, 1/01331:19:28:31:77800
